Target,Observation Span (day),Data Points,LS Period,FFT Period,Difference,Max Power,FAP,Period Error
kplr003733346-2009166043257_llc,33.471473211902776,1624,0.6820963590672112,0.683091496599705,0.000995137532493806,0.6840142021699998,0.0,0.011120046975100785
kplr003733346-2009259160929_llc,88.70156918812427,4070,0.6817870817519925,0.6823197989227573,0.0005327171707647516,0.6784840217698663,0.0,0.00419233733155738
kplr003733346-2009350155506_llc,89.24997010900552,4134,0.6820786434620837,0.6814533373321414,0.0006253061299422713,0.6824516074420995,0.0,0.004170141684519374
kplr003733346-2010078095331_llc,89.80638213138445,4108,0.6818681120691533,0.6803525623201329,0.0015155497490204617,0.678238695328484,0.0,0.00414174682219383
kplr003733346-2010174085026_llc,94.65244854192133,4486,0.682167770994881,0.6809532895697642,0.0012144814251168201,0.6816634614141353,0.0,0.003933150171623702
kplr003733346-2010265121752_llc,89.82545455225772,4272,0.6819141741251011,0.6804960078877753,0.0014181662373258241,0.6814219060392659,0.0,0.004141426887873649
kplr003733346-2010355172524_llc,89.35215823081671,4226,0.6818060796331313,0.6822333603373992,0.0004272807042678961,0.6799730719349875,0.0,0.0036417885991823036
kplr003733346-2011073133259_llc,66.9614709891539,3106,0.6821563523284414,0.6832819362830285,0.0011255839545870616,0.6825872280847483,0.0,0.00555946316170248
kplr003733346-2011177032512_llc,97.39072166858386,4610,0.6820521706909254,0.6810542144170528,0.0009979562738725578,0.6828087456298579,0.0,0.0038212688484003904
kplr003733346-2011271113734_llc,93.4015211002843,4441,0.6822533478782012,0.6817629796227743,0.0004903682554269206,0.6777742618030818,0.0,0.0034884736099087617
kplr003733346-2011303113607_slc,31.07676478142821,45186,0.6818554351205581,0.6755924847501498,0.00626295037040836,0.6777548952441123,0.0,0.011968474522323446
kplr003733346-2012004120508_llc,97.09623470421502,4473,0.6818736106744955,0.6839196897811708,0.0020460791066753137,0.6812082671112523,0.0,0.003830851915942111
kplr003733346-2012088054726_llc,82.59328069828916,3550,0.6820632839577063,0.6825895914336482,0.0005263074759418451,0.6828581906740494,0.0,0.004506035545652688
kplr003733346-2012179063303_llc,90.30003020074946,4245,0.6820242417152971,0.6840913912383259,0.0020671495230287773,0.6825820483819783,0.0,0.004120991457063584
kplr003733346-2012277125453_llc,97.16149935354042,4269,0.6820193511541115,0.6843780811817031,0.0023587300275915712,0.6836863724240746,0.0,0.0038299153343123397
kplr003733346-2013011073258_llc,97.62750265032082,4366,0.6821016285656886,0.6828524902340031,0.0007508616683145064,0.6826801893203855,0.0,0.0038125537911863554
kplr003733346-2013098041711_llc,85.84236573043745,3534,0.6821420213469223,0.6812929230837321,0.0008490982631901289,0.6825241618175878,0.0,0.004878546391342289
kplr003733346-2013131215648_llc,31.755252882256173,1285,0.6820981718769483,0.6756438890879508,0.006454282788997512,0.6847313091598367,5.428143e-317,0.01172109490805802
